kelompok,rating,teks,berisi_keluhan
negatif_terlewat,2,"Sudah d tulis d catatan no.35 tp d kirim no.36, katanya sesuai sistem, krn saya pesan d no.36, oke gpp, tp d seler lain meski sesuai sistem tp kalau ada catatan utk penjual, seller nya nanya dulu, ini ngga. Bukan ngomel tp fakta, Trims barang bagus dan cepat, tp kegedean. Trims..",True
negatif_terlewat,1,tidak puas.........................,True
negatif_terlewat,2,"Kaca jam ny lepas, g tanggung jwb",True
negatif_terlewat,1,minta warna apa yg dtg warna apa,True
negatif_terlewat,1,"Produk belum sampai,,dan uang belum d kmbalikan",True
negatif_terlewat,2,"Bolanya keras juga ya, tapi bagus la harga segitu",True
negatif_terlewat,1,"Deker nya kekecilan, bisa ditukar gan ?",True
negatif_terlewat,2,Rada keras lapnya... Tapi boleh lah,True
negatif_terlewat,1,Gan saya mintanya RJ45 ko dikasih tang RJ nya?,True
negatif_terlewat,2,Bisa dipakai tapi daya lemah bila dipakai lebih dari dua slot.,True
negatif_terlewat,2,terima kasih aja. proses lama,True
negatif_terlewat,1,Suckkkk..............................................,True
negatif_terlewat,2,"Respon sih cepat satu hari langsung,tapi pengiriman nya agak lama hampir 4 hari tapi baranh sesuai dengan harga.Seller kadang ga jawab pertanyaan.Tolong tingkatkan lagi.TAPI barang bagus lah sesuai harga meskipun ada yang terkelupas sedikit.☺",True
negatif_terlewat,2,Less responsibility when complaint,True
negatif_terlewat,2,yaaa begitulah harga sesuai dengan kwalita barang....,True
negatif_terlewat,1,Produknya kw mudah rusak,True
negatif_terlewat,1,"Pesen nya warna biru tapi di kirim warna hitam,untung cuma hp murah",True
negatif_terlewat,1,Kelamaan pengiriman barang,True
negatif_terlewat,1,mkc y ...........................,False
negatif_terlewat,2,"ringan kaya hp ringan
spiker telpon rusakkkk",True
negatif_terlewat,2,merk berbeda dengan deskripsi dan foto,True
negatif_terlewat,2,"😥😥 not good quality, not even close.",True
negatif_terlewat,2,Pengiriman cepat kualitas agak kurang,True
negatif_terlewat,2,Panjang asli 25m bukan 30m,True
negatif_terlewat,2,"Kualitas karet sangat tipis, pantulan bola oleh kayu bet terdengar keras",True
negatif_terlewat,2,Jamnya ukuranya kecil jd ngk sesuai ekspetasi,True
negatif_terlewat,1,Mengecewakan...........,True
negatif_terlewat,1,"/):&amp;,).’jaksjsksmnbgb!$:)/$/&amp;&amp;",False
negatif_terlewat,1,ggdjkkjfkghfyhdjhugfvkchzndfjhadfafhjkkiutff,False
negatif_terlewat,1,lumaaayaaaaannnn.......,False
negatif_terlewat,2,"Barangnya biasa aja, untung belinya dapet harga flash sale, kalo harga asli dbandingin sama barangnya mah mending beli merk lain aja. Mana sellernya juga ngeproses pembeliannya lama bener lagi. Tapi bintang diatas cuma buat penilaian barang, jadi masih bisa dapet bintang 2.",True
negatif_terlewat,2,Gambar /pic warna coklat koq di kasihnya warna hitam,True
negatif_terlewat,2,"paket diterima, ad sedikit cacat di bagian gagang disebabkn bungkus pecah. yg lain  gk ad masalah. terimakasih, mudh2an usaha makin laris dan lancar dan pelayanan semakin baiK",True
negatif_terlewat,2,Packing ke luar kota harusnya pake bubble wrap kak. Jadi gak penyok2 kotaknya.,True
negatif_terlewat,1,Gan Ko gabilang Klo ini KW.... dikirain harganya murah karena keluar model baru.,True
negatif_terlewat,1,"Barang nya jelek bgt , saya mau kasih ke Org pun malu , mungkin ini foto lebih bagus dari produk asli nya
Saya tdk akan beli lagi",True
negatif_terlewat,2,apik tenan brooooooooooooooooooooooooooooooooooooooooooooooooo,False
negatif_terlewat,2,"standart banget yg ini boss,,,waduh",True
negatif_terlewat,2,"Isi dalam nya ada sebagian Karatan walaupun di segel,,",True
negatif_terlewat,2,"alhamduliah, barang sudah diterima.
tapi kang, kabel usb nyakok warna grey ? padahal saya pesan putih.
setelah saya  test  barangnya, alhamdulialh lancar.
trims ya kang.",True
negatif_terlewat,2,Kemasan belum baik.. Saat sampai kardus pada earphone sudah peot dan terbuka.. Request warna dari cream jadi hitam.,True
negatif_terlewat,1,Merk campur beda2.. kualitas sesuai harga,True
negatif_terlewat,1,"proses pengirimannya agak lambat,memakan wak tu seminggu untuk sampe kerumah",True
negatif_terlewat,2,"Brg sdh diterima, yg satu holdernya potong..",True
negatif_terlewat,1,brang udh smpek trma ksih gan,False
negatif_terlewat,2,"Respon penjual lama sekali , produk sesuai gambar dan kualitas cukup sesuai harga",True
negatif_terlewat,1,"Pengirimnya lama, prosesnya juga lamaaaa",True
negatif_terlewat,1,Harusnya deskripsi warna dihapus jika pengiriman sesuai stock,True
negatif_terlewat,1,"baru diterima sesuai foto, lalu dicharge, pas balik2 baterai sdh menggelembung dan sdh rusak total, terima kasih",True
negatif_terlewat,2,Barang udah sampe kmaren,False
negatif_terlewat,1,Barang sampai dalam keadaan basah. Dus seperti terendam banjir.,True
negatif_terlewat,2,"Kagak pas di motor ninja 250 fi.. 
Sama kagak pas di polygon stratos..",True
negatif_terlewat,2,Batt nya cepet abis...Bukan seperti Nokia Yg terdahulu...😭,True
negatif_terlewat,2,barang standart n biasa aja kurang good...,True
negatif_terlewat,2,"barang ok, tp pelayanan kurang",True
negatif_terlewat,1,Terlalu kecil.. Rantai terlalu pendek,True
negatif_terlewat,2,"Barang Bagus Sih
Cuma Bau Sekali
Harus di cuci dulu sblum di pakai :v",True
negatif_terlewat,1,barang sudah diterima kualitas kurang memuaskan,True
negatif_terlewat,2,"Barang bagus scr design dan warna tp kenapa date nya kurang otomatis y? Pertama kali pakai sy harus manual kan date sampai 3hr trus jalan lg normal, hari ini sama lagi date nya gak jalan otomatis? Ini benar asli kan? Apa cara kerja nya mmg spt itu or bgmn? Lalu warna biru nya sdh mulai kelihatan pudar disisi bawah baru sy pakai 2 minggu kok cepat skl. Saya beli jam tgn 600rb baru pudar 2th stlh pemakaian.. tolong bs dijelaskan biar bintang nnt bs kembali berbicara utk anda. Bisa claim garansi ke toko anda? Krn harga jam ini mahal shrsnya sesuai dgn  kualitas. Thank",True
negatif_terlewat,1,Bahan ny bagus gx mudah melar,False
negatif_terlewat,2,"Framenya clunky. Tombol mappingnya gabener , o jadi segitiga .dll 
Yah budget gaming boz.",True
negatif_terlewat,1,Payah&#39;.................................,True
negatif_terlewat,2,Lem nya kurang rapih dan enteng banget,True
negatif_terlewat,1,Barangnya udah connect tapi ga keluar suara,True
negatif_terlewat,1,hanya ini yg sampai.....,True
negatif_terlewat,2,"tolong setiap pengiriman di cek keberadaannya...
thanks",True
negatif_terlewat,2,"ukurannya kekecilan kalau normal saya pakai ukuran L, disini ukurannya sangat kecil untuk L.",True
negatif_terlewat,2,Model bagus. Tp deskripsi specsnya salah smua. Saya lenganny kecil. Liat ini spek ny diameter 44mm jd saya beli. Trnyata 51mm kayak yg wrna kuning (pdhl saya naksir yg wrna kuning. Tp krn ini 44mm jd beli ini d. Lah trnyata sama aja ukurannya sama yg kuning). Jd bagong bgt kayak jam power ranger. Admin jg ga friendly. Ga mo ngaku salah,True
negatif_terlewat,1,Udah di coba berbagai merek hp Kadang berpungsi kadang enggak.,True
negatif_terlewat,2,"Left left, so far suara enakeun tp telinga bukan kiri dua duanya 😂😂",True
negatif_terlewat,2,warna nya ga sesuaii dengan yg saya ingin kan,True
negatif_terlewat,1,Kayak sepatu bekas sudah mengelupas..,True
negatif_terlewat,2,beli disini karena ada softcasenya. diterima tidak ada softcasenya.,True
negatif_terlewat,1,"Ukurannya kecil, klo mau beli size dilebihin. misalkan size 42 belinya 43. size 43 belinya 44.",True
negatif_terlewat,1,Coil brush nya blm dikirim,True
negatif_terlewat,2,Gunting kuku krg tajam jepitan uban jg,True
negatif_terlewat,1,Barang baru 24 hari udah mledak.. Ngeriii,True
negatif_terlewat,1,harga 200rb&#39;an . kualitas 70 rb&#39;an . maap sedikit kecewa,True
negatif_terlewat,2,"Kaitan tempat HP dan gagangnya gak klik, agak ngeri untuk di jalan bisa lepas..",True
negatif_terlewat,1,"Kotak rusak, lem sepatunya gk bngt",True
negatif_terlewat,1,"Produknya ternyata kosong,tp gpp lah.. Uangnya di refund...",True
negatif_terlewat,1,TS nya ga fungsi ........,True
negatif_terlewat,1,"packingan cmn buble 1 lapis , bahkan jamnya masih kelihatan dari luar, lain kali tolong diperhatikan packingannya",True
negatif_terlewat,2,barang prosuknya cacat atau memiliki retakan,True
negatif_terlewat,1,gagal.........................,True
negatif_terlewat,1,Lama pengirimannya 😩,True
negatif_terlewat,1,brgnya gak ori bro..soalnya ane bandingin dg tetangga yg ori..tks sdh sampai brgnya..,True
negatif_terlewat,1,"Pengiriman lama... Tidak fast respond, promo gratis ongkir tidak berlaku...",True
negatif_terlewat,2,"barang sampe, sablon miring",True
alarm_palsu,4,Ternyata kecil ya barangnya saya ga merhatiin ukurannya,True
alarm_palsu,5,"Barang sesuai deskripsi , semoga gak lecet kalo di pakai lama.",False
alarm_palsu,4,Kecewa..!Barang rusak mau retur penjual minta kita yg bayar ongkir pp...🙁🙁🙁,True
alarm_palsu,5,"isi yg bawaan terlalu besar bos, jd ga kuat klo buat jok motor, ada yg lebih kecil ga kawatnya..?",True
alarm_palsu,5,fast response! jadi kalo butuh buru2 nggak susah,False
alarm_palsu,5,Sempet kecewa mesen size 39 yg dikirim 37 untung nya bs ditukar size 39 jd ga kecewa lg malah seneng bgt sm sandal nya.. mksih kk,False
alarm_palsu,4,NOT BAD ............,False
alarm_palsu,4,"barang sudah sampai, tdk ada yg error atau cacat",False
alarm_palsu,4,"4 dulu, belom di cek.....",False
alarm_palsu,5,"walaupun barang blm sampai , langsng saya selesaikan ...",False
alarm_palsu,5,"produck bagus , saya pesen 2pcs tp kabel yg satu gak bisa di pakai.  Rusak kayanya..",True
alarm_palsu,5,Ga prnah kecewa blanja ditoko ini........,False
alarm_palsu,4,"Sayang keluar suara org cina melulu bro gak ngerti g
Ngecash nya gak ketahuan penuh nya gmn
Tapi untuk keseluruhan dari 1-10 g beri nilai 8 bro
NB.tolong ksh tau cara kerja nya di iklan",True
alarm_palsu,5,bagus sangat ni barang. tak sia2 saya pilehkan ne barang,False
alarm_palsu,5,Sesuai barangnya tapi sayanya ga bisa nyeting hhh,False
alarm_palsu,5,"pas di kaki, tali webing juga pas panjang nya, gak pendek seperti merek lain",False
alarm_palsu,4,bola sdh datang tapi yg datang tdk sesuai gambar:(( ... tapi jujur suka yg ini dri pada yang digambar hehe,False
alarm_palsu,5,"Lampu nya ada port micro USB, jadi gk repot ngecas nya. Walaupun ngecas nya lama banget",True
alarm_palsu,5,"Barang sesuai deskripsi. Tapi tidak sesuai dg yg diharapkan. Dibandingkan charger ori masih lebih lambat utk charging sampai penuh. Tapi utk harga segitu, jelas sepadan.",True
alarm_palsu,5,Brownnnn lucuuu .... gak dapat connie,True
alarm_palsu,4,Baru dipakai kancing langsung rusak sangat kecewa,True
alarm_palsu,5,Sedikit mengecewakan kurir nya kurang bagus,True
alarm_palsu,4,"Produk bagus, tp ternyata bagian atas dijahit ga bisa elastis.. Jd ga bisa masuk kaki bagian belakang.. Meski size 44",True
alarm_palsu,5,Barang ini Recomenned!!!,False
alarm_palsu,4,Buku manualnya tidak sama dg model yg dikirim ya?,True
alarm_palsu,5,Alhamdulillah  batre macbookpro saya ga gembung lg,False
alarm_palsu,4,tidak untuk semua permainan.....,True
alarm_palsu,4,"di mika nya usb 3.0, bgtu di sambung ke komputer yang tertera usb 2.0",True
alarm_palsu,4,"Barang nya betul buat x220, tapi ane salah beli harusnya x201, mohon maaf bisa tuker gak mohon solusinya",False
alarm_palsu,4,Penjual tdk konfirmasi warna yg tersedia,True
alarm_palsu,4,"Barang tdk rekomen, ukuran tdk sesuai",True
alarm_palsu,4,ya begitulah... ga sesuai ekspektasi...,True
alarm_palsu,4,waah tak kira 10m cukup ampe kamar ane ternyata kurang deh,True
alarm_palsu,4,matching banget ama hp nya yg hitam' tks,False
alarm_palsu,4,"Maaf kalau kapan hari agak keras masalah salah RESI salah input.
JNE makin parah gak pernah kirim ke pelanggan, jadi harus ambil sendiri.
udah coba matrasnya, sedikit kurang nyaman dengan bau plastik menyengatnya.
So far good.",True
alarm_palsu,5,"Parah cpt bgt respon dan kirim nyaaa, ga pake chat lgsg kirim",False
alarm_palsu,4,"Recommended seller. Tp kok hanya 1 sisi yg bisa di panjangin ya? Satu sisinya lagi mati, gk bs di panjangin",True
alarm_palsu,4,"Barangnya oke2 aja sih, ya ada harga ada barang, tapi tombol on off matiin mousenya engga ada. akhirnya cara yg paling jitu balikin baterai. kardus kayak habis ketiban lecek banget, dan warna kok yang datang putih? di gambar warna hitam",True
alarm_palsu,4,"Berfungsi dengan baik, lebih stabil dibanding clamp pada umumnya, Tapi cukup rapuh jika tidak hati2 bisa patah walau baru di pakai beberapa kali saja",True
alarm_palsu,5,Barang bagus. Tp pengiriman pake jne lambat parah.,True
alarm_palsu,4,Barang tidak sesuai photo,True
alarm_palsu,4,Tidak sesuai ....supercopy,True
alarm_palsu,4,ga daper stempel kurang oyy,True
alarm_palsu,4,barang yang dikirim memuaskan..,False
alarm_palsu,5,"Barang sesuai pesanan, walaupun di staples ga muat",True
alarm_palsu,4,pengiriman biasa saja. tidak cepat. tidak juga lambat,False
alarm_palsu,4,brg yg diterima ga sesuai deskripsi. di keterangan tulisnya warna biru. dikshnya warna kuning. tp bs dipk sih..,True
alarm_palsu,4,"bisa nempel di kaca..tapi masih ragu kalo di tempel di motor soalnya bagian yg nempel ke hp cuma pake souble tip, rentan kalo kena debu.",True
alarm_palsu,5,Kainnya kurang kuat.. baru d pake sekali sobek !!,True
alarm_palsu,5,"ya begitu deh , setelah barang nyampe penjual lepas tangan chat udh ga dibalas",True
alarm_palsu,5,Brg ny uda rusak gan. Ada garansinya?,True
alarm_palsu,5,Brng&#39;y sdh nymp..manstafh..,False
alarm_palsu,4,"Produk bekerja dgn baik. Tapi agak kecewa dgn Go-Send nya. Hrsnya sampai di hari itu jg tapi baru sampai bsk paginya. Ditunggu sampai malam, driver dihubungi tidak bisa, pdhl barangnya mau dibawa meeting keluar kota. Driver jg tdk ada rasa bersalah ketika mengantar, tdk minta maaf.",True
alarm_palsu,5,ya begitulah... ga sesuai ekspektasi...,True
alarm_palsu,5,"Ga kecewa pokoknya deh, ++bagusnyaa",False
alarm_palsu,4,Lumayan.   Nempel di hape yg ada cover licin ga bisa,True
alarm_palsu,5,barang nya sudah keterima .........,False
alarm_palsu,4,"Minta nya yg M-tech , tpi yg dikirim malah Nisuta",True
alarm_palsu,4,Stik yg satunya ada tombol yg gak berfungsi om.. Bagian L1.. Tp gpp ane jarang maen PES juga soalnya.. Yang satunya OK 👍,True
alarm_palsu,5,Rj 45 kualitas unggul ga mudah rusak,False
