teks,teks_bersih,label,rating,kategori,nama_produk,id_produk,id_toko,url
josss pokok e bisa buat langganan,jos pokok e bisa buat langganan,positif,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,231740,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm
"berfungsi dengan baik, normal",berfungsi dengan baik normal,positif,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,231740,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm
"Cara Memberikan Nilai Reputasi ke Penjual

Untuk dapat memberikan nilai reputasi ke penjual, Anda dapat melakukan langkah-langkah berikut ini:",cara memberikan nilai reputasi ke penjual untuk dapat memberikan nilai reputasi ke penjual anda dapat melakukan langkah langkah berikut ini,positif,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,231740,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm
Barang sesuai dengan deskripsi. Pengiriman cepat gak pake lama. Barang bagus. Mantap dahh pokoknya. Thanks gan,barang sesuai dengan deskripsi pengiriman cepat tidak pakai lama barang bagus mantap dahh pokoknya terimakasih gan,positif,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,231740,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm
Sesuai dengan deskripsi,sesuai dengan deskripsi,positif,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,231740,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm
"bagus,  packing aman pake bublewrap.  ndak ada yang patah",bagus packing aman pakai bublewrap tidak ada yang patah,positif,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,231740,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm
Barang sesuai deskripsi,barang sesuai deskripsi,positif,5,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun
cukuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuupp,cukupp,positif,5,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun
barang sudah sampai sesuai pesanan .,barang sudah sampai sesuai pesanan,positif,5,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun
Barang bagus sesuai info fast response,barang bagus sesuai info fast response,positif,4,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun
"barang ok....
pengriman cepet....",barang ok pengriman cepat,positif,5,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun
barang sudah sy terima gan thanks,barang sudah saya terima gan terimakasih,positif,4,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun
paket telah diterima baik.. Terima kasih,paket telah diterima baik terimakasih,positif,5,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun
"Barang bagus, ga kecewa, tapi kurang banyak, nanti order lagi dah",barang bagus tidak kecewa tapi kurang banyak nanti order lagi sudah,positif,5,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun
"barang sudah di terima, terima kasih ....",barang sudah di terima terimakasih,positif,4,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun
Barang sudah diterima .........,barang sudah diterima,positif,4,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun
sip. udah sampe beberapa menit yg lalu. oke sesuai pesanan dan gambar. trimakasih kerjasamanya.,sip sudah sampai beberapa menit yang lalu ok sesuai pesanan dan gambar terimakasih kerjasamanya,positif,5,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun
sesuai deskripsi barangnya,sesuai deskripsi barang,positif,5,pertukangan,Electric Rivet Gun Adapter,438509680,792976,https://www.tokopedia.com/pamasshop/electric-rivet-gun-adapter
Produk sesuai pesanan tp blm dcoba,produk sesuai pesanan tapi belum dcoba,positif,4,pertukangan,Electric Rivet Gun Adapter,438509680,792976,https://www.tokopedia.com/pamasshop/electric-rivet-gun-adapter
Proses cepat dan mantap,proses cepat dan mantap,positif,5,pertukangan,Electric Rivet Gun Adapter,438509680,792976,https://www.tokopedia.com/pamasshop/electric-rivet-gun-adapter
sesuai deskripsi barangnya,sesuai deskripsi barang,positif,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
Bagus sesuai dgn deskripsi thnks.,bagus sesuai dengan deskripsi thnks,positif,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
Produk sesuai gambar dan deskripsi. Produknya bagus dan harganya jg bagus. Recommended produk,produk sesuai gambar dan deskripsi produknya bagus dan harganya juga bagus recommended produk,positif,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
seller is good. produknya mantap. 5 stars ya,seller is good produknya mantap stars ya,positif,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
"Produk bagus, sesuai deskripsi, packing rapi, pengiriman cepat, hanya kurirnya yg agak telat.. thanks..",produk bagus sesuai deskripsi packing rapi pengiriman cepat hanya kurirnya yang agak telat terimakasih,positif,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
"Mahmurah mantap... Barang sdh sampe,, thanks sukses selalu",mahmurah mantap barang sudah sampai terimakasih sukses selalu,positif,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
Produk diterima utuh tersegel.. semoga awet,produk diterima utuh tersegel semoga awet,positif,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
"Sesuai order, pengiriman cepat, respon cepat",sesuai order pengiriman cepat respon cepat,positif,4,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
Respon dan proses dr penjual cepat. Barang sdh diterima stlh 2 hari. Kualitas barang bagus. Recommended seller. Thanks,respon dan proses dari penjual cepat barang sudah diterima stlh hari kualitas barang bagus recommended seller terimakasih,positif,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
Mantap. Sesuai deskripsi. Trimakasih semoga barokah jualannya.,mantap sesuai deskripsi terimakasih semoga barokah jualannya,positif,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
"Makasih gan, barang sesuai",terimakasih gan barang sesuai,positif,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
Pengiriman cepat. Fast respon. Barang sesuai. Trims,pengiriman cepat fast respon barang sesuai terimakasih,positif,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
"Produknya bagus, berkualitas, dan berfungsi dg baik",produknya bagus berkualitas dan berfungsi dengan baik,positif,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
brg diterima dg baik&amp; lengkap,barang diterima dengan baik lengkap,positif,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
Great Product &amp; Great Seller,great product great seller,positif,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter
"Steplesnya sedikit lebih kecil dari staples khusu mollar, saat ditembakan keluar 2 dan jadi menumpuk yang keluar. Rekomennya sih mending cari isi yang khusus mollar jk staplesnya merk mollar",steplesnya sedikit lebih kecil dari staples khusu mollar saat ditembakan keluar dan jadi menumpuk yang keluar rekomennya sih mending cari isi yang khusus mollar jk staplesnya merk mollar,positif,4,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
Sesuai dengan pesanan..............,sesuai dengan pesanan,positif,4,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
Produk berfungsi dgn baik,produk berfungsi dengan baik,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
"produk sesuai dengan deskripsi, tapi belum dicoba",produk sesuai dengan deskripsi tapi belum dicoba,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
Barang sesuai diskripsi dan layanan cepat,barang sesuai diskripsi dan layanan cepat,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
"Sudah diterima, terima kasih",sudah diterima terimakasih,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
Pesanan gx sesuai dgn yg d gambar,pesanan gx sesuai dengan yang d gambar,negatif,2,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
Sudah diterima dengan baik dan bisa di pakai.,sudah diterima dengan baik dan bisa di pakai,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
Packing rapi dan respon cepat... recommended..!,packing rapi dan respon cepat recommended,positif,4,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
Barang sudah diterima dg baik. Thx,barang sudah diterima dengan baik terimakasih,positif,4,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
Terima kasih..........,terimakasih,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
"Pengiriman sangat cepat, Barang sesuai iklan, berfungsi baik, 👍👍👍",pengiriman sangat cepat barang sesuai iklan berfungsi baik,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
kwalitas bagus. sesuai dengan yang ditawarkan. respons cepat,kwalitas bagus sesuai dengan yang ditawarkan respons cepat,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
Sesuai yg diharapkan. Terimakasih.,sesuai yang diharapkan terimakasih,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
"Barangnya bagus, pelayanan toko ini semuanya sangat memuaskan...recomend.",barang bagus pelayanan toko ini semuanya sangat memuaskan recommended,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
suuuuuuuuuuuuuuuuuuuuuudaaaaaaaah Diiiiteeeerimaaaaa,sudah diterima,positif,4,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
Pengiriman dan respon super cepat. Tpi barang tidak sesuai gambar dan tidak kuat untuk menembus jok motor.,pengiriman dan respon super cepat tapi barang tidak sesuai gambar dan tidak kuat untuk menembus jok motor,negatif,2,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
"Produk sesuai deskripsi, packing rapi.. rekomended..!",produk sesuai deskripsi packing rapi recommended,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
bukan merk kenmaster ternyata,bukan merk kenmaster ternyata,positif,4,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
Terimakasih barang sudah sampai,terimakasih barang sudah sampai,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
"Bagus..
Pengiriman cukup cepat",bagus pengiriman cukup cepat,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
Siiiiiiiippppppppp...,sip,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
Barang udh sampe...mksh....,barang sudah sampai terimakasih,positif,4,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
Terimakasih barangnya udah sampai.,terimakasih barang sudah sampai,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
Fast respon dan terbaiks,fast respon dan terbaiks,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
makasih barang sudah sampai,terimakasih barang sudah sampai,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
Bagus.......top pengiriman cepat,bagus top pengiriman cepat,positif,4,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
thanksss........................,terimakasih,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
Merk beda tapi gpp yg penting ukrn sama,merk beda tapi tidak apa apa yang penting ukrn sama,positif,4,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
Lihat bintangnya aja dahhhhh,lihat bintangnya saja sudah,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
"bagus ,....................    ........",bagus,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
"Barang sudah diterima. Ukuran sesuai deskripsi. Hanya mereknya beda dengan yang dikirim, tetapi tidak masalah yang penting berfungsi dengan baik.",barang sudah diterima ukuran sesuai deskripsi hanya mereknya beda dengan yang dikirim tetapi tidak masalah yang penting berfungsi dengan baik,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
Barang sudah sampai....tks..,barang sudah sampai terimakasih,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
"Bagus,,,,,, terimakasih .......",bagus terimakasih,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
"barang sudah samapai gan, dan bagus",barang sudah samapai gan dan bagus,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
"mantafff, sangat-sangat sesuai,,,",mantaf sangat sangat sesuai,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
Barang sudah diterima dengan baik...,barang sudah diterima dengan baik,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
"Pengiriman cepat, Kemasan bagus",pengiriman cepat kemasan bagus,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
SESUAI PERMINTAAN.. FAST RESPON,sesuai permintaan fast respon,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
Matab...good...sesuai permintaan...,matab good sesuai permintaan,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
barang yg dikirim tidak sesuai pesanan,barang yang dikirim tidak sesuai pesanan,negatif,1,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
barang lumayan kuat.... good,barang lumayan kuat good,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
sudah sampai murah meriah,sudah sampai murah meriah,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
"sudah di terima bos
packing bagus, aman",sudah di terima bos packing bagus aman,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
"makasih, barang sesuai gambar",terimakasih barang sesuai gambar,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
langsung dipakai. mantap. thanks. maaf baru kasi testi,langsung dipakai mantap terimakasih maaf baru kasi testi,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
"Harganya murah tp isinya lumayan banyak n kuat. Pesan kmrn hr ini nyampe. thanks Toko besi timur jaya, Tokopedia n wahana",harganya murah tapi isinya lumayan banyak n kuat pesan kmrn hari ini sampai terimakasih toko besi timur jaya tokopedia n wahana,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
ok.....................................,ok,positif,4,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
terimakasih barang sdh diterima,terimakasih barang sudah diterima,positif,4,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
Unit nya sudah sampai....thanks,unit nya sudah sampai terimakasih,positif,4,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
ga nyampe sejam dr mulai transaksi...udah nyampe rumah...mksh,tidak sampai sejam dari mulai transaksi sudah sampai rumah terimakasih,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
"good.......cepat, packing aman.....",good cepat packing aman,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
Barang sangat bagus sesuai diskripsi,barang sangat bagus sesuai diskripsi,positif,5,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
